tick,agent_id,x,y,active_agents,messages_sent
151,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
152,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
152,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
152,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
152,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
153,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
153,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
153,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
153,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
154,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
154,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
154,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
154,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
155,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
155,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
155,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
155,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
156,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
156,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
156,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
156,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
157,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
157,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
157,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
157,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
158,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
158,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
158,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
158,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
159,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
159,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
159,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
159,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
160,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
160,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
160,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
160,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
161,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
161,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
161,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
161,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
162,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
162,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
162,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
162,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
163,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
163,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
163,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
163,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
164,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
164,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
164,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
164,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
165,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
165,e7e0e9d2-f913-483c-948e-67eb33115c2d,3,9,1,0
165,b081f9c5-f7c9-4596-becd-caecde91fc90,5,0,1,0
165,a4784c74-1bd0-4d3a-916f-dc84ba709e93,7,6,1,0
166,1d415d81-8a9b-4885-a995-e330934cdc88,7,4,1,0
